source,target,value
Next-Gen Authoring,Bento,1
Next-Gen Authoring,Modular,1
Next-Gen Authoring,Courseware,1
Next-Gen Authoring,Accessibility,1
Bento,Terms to Know,1
Bento,What is Bento,1
Bento,What is a Habitat Project,1
Bento,Objectives and Tags,1
Bento,Bento Search Basics,1
Bento,Bento Search Missions,1
Bento,Are You A Search Maven,1
Bento,What Types of Content Are In Bento?,1
Bento,What Can I Do in Bento?,1
Bento,Search Maven Assessment,1
Modular,Make it Modular,1
Modular,Habitat: Terms to Know,1
Modular,What is Habitat,1
Modular,Pattern Picker Basics,1
Modular,Widgets: Terms to Know,1
Modular,What is a Widget,1
Modular,Understanding the Widget Authroing Screen,1
Modular,Basic Evaluation Characteristics of Widgets,1
Courseware,What is Courseware,1
Courseware,Courseware Hierarchy,1
Courseware,What is Courseware pt. 2,1
Courseware,How Do I Start Building Courseware,1
Courseware,How Do I Add and Preview Content in Courseware,1
Courseware,How Do I Copy and Move Courseware Content,1
Courseware,How Do I Make Changes to My Courseware,1
Courseware,Conjurer Assessment,1
Accessibility,What is Assistive Technology,1
Accessibility,How Does Alt Text Work?,1
Accessibility,When Do I Use Alt Text?,1
Accessibility,What is an Accessible Digital Product?,1
Accessibility,What is WCAG 2,1
Accessibility,How Can My Product Meet Accessibility Standards,1
Accessibility,Accessibility Assessment,1
